Date, Open, High, Low, Close
06/05/15,1.1239,1.1285,1.1052,1.1116
06/08/15,1.1116,1.1309,1.1084,1.1293
06/09/15,1.1294,1.1344,1.1215,1.1282
06/10/15,1.1283,1.1384,1.1263,1.1324
06/11/15,1.1325,1.1328,1.1184,1.1259
06/12/15,1.1258,1.1296,1.1152,1.1267
06/15/15,1.1267,1.1297,1.1189,1.1284
06/16/15,1.1283,1.133,1.1205,1.1249
06/17/15,1.1248,1.136,1.1207,1.1338
06/18/15,1.1337,1.1437,1.133,1.1361
06/19/15,1.136,1.1394,1.1294,1.1352
06/22/15,1.1352,1.141,1.1313,1.1341
06/23/15,1.1341,1.1346,1.1136,1.1167
06/24/15,1.1168,1.1236,1.1158,1.1204
06/25/15,1.1206,1.1226,1.1155,1.1206
06/26/15,1.1204,1.122,1.1132,1.1166
06/29/15,1.1166,1.1277,1.0986,1.1237
06/30/15,1.1238,1.1243,1.1114,1.114
07/01/15,1.115,1.1172,1.1043,1.1054
07/02/15,1.1053,1.112,1.1037,1.1085
07/03/15,1.1084,1.1119,1.1066,1.1115
07/06/15,1.1115,1.1115,1.0995,1.1056
07/07/15,1.1057,1.1059,1.0917,1.1012
07/08/15,1.1014,1.1094,1.0975,1.1077
07/09/15,1.1078,1.1124,1.0993,1.1038
07/10/15,1.1037,1.1216,1.1032,1.1156
07/13/15,1.1156,1.1198,1.0997,1.1001
07/14/15,1.1002,1.1079,1.0966,1.1009
07/15/15,1.101,1.1037,1.0931,1.095
07/16/15,1.0949,1.0964,1.0856,1.0876
07/17/15,1.0877,1.0908,1.0829,1.0831
07/20/15,1.0831,1.0871,1.081,1.0826
07/21/15,1.0825,1.0969,1.0812,1.0937
07/22/15,1.0936,1.0966,1.0871,1.093
07/23/15,1.0929,1.1018,1.0921,1.0984
07/24/15,1.0985,1.0997,1.0926,1.0984
07/27/15,1.0984,1.1127,1.0971,1.109
07/28/15,1.1088,1.1099,1.1022,1.1061
07/29/15,1.106,1.1085,1.0967,1.0985
07/30/15,1.0984,1.0992,1.0895,1.0933
07/31/15,1.0932,1.1116,1.0921,1.0983
08/03/15,1.0983,1.0998,1.0942,1.0951
08/04/15,1.0952,1.099,1.0879,1.0882
08/05/15,1.0881,1.0944,1.0849,1.0906
08/06/15,1.0908,1.0944,1.0875,1.0925
08/07/15,1.0924,1.0979,1.0857,1.0966
08/10/15,1.0966,1.1041,1.0925,1.1018
08/11/15,1.1019,1.109,1.096,1.1042
08/12/15,1.1043,1.1215,1.1027,1.1159
08/13/15,1.116,1.1189,1.108,1.1152
08/14/15,1.1153,1.1189,1.1099,1.1108
08/17/15,1.1108,1.1124,1.1059,1.1078
08/18/15,1.1079,1.1095,1.1019,1.1024
08/19/15,1.1026,1.1135,1.1019,1.1119
08/20/15,1.112,1.1245,1.1107,1.124
08/21/15,1.1241,1.1393,1.1229,1.1388
08/24/15,1.1388,1.1714,1.137,1.162
08/25/15,1.1621,1.1623,1.1398,1.1518
08/26/15,1.1517,1.1562,1.1293,1.1317
08/27/15,1.1315,1.1364,1.1203,1.1245
08/28/15,1.1247,1.1311,1.1157,1.1184
08/31/15,1.1184,1.1262,1.1181,1.1212
09/01/15,1.1211,1.1333,1.1208,1.1315
09/02/15,1.1316,1.1323,1.1218,1.1226
